UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Target,Failure Type
9000,L56179,L,297.1,307.9,1492,39.4,171,0,No Failure
9001,L56180,L,297,307.9,1493,46.1,173,0,No Failure
9002,L56181,L,297,307.8,1500,39.9,175,0,No Failure
9003,L56182,L,297.1,307.8,1477,36.6,177,0,No Failure
9004,L56183,L,297.1,307.9,1342,49.1,179,0,No Failure
9005,M23864,M,297.1,307.8,1538,34.3,181,0,No Failure
9006,L56185,L,297.2,307.9,1337,58.1,184,0,No Failure
9007,L56186,L,297.3,307.9,1417,41.8,186,0,No Failure
9008,L56187,L,297.4,308,1383,46.2,188,0,No Failure
9009,M23868,M,297.4,308,1440,42.4,190,0,No Failure
9010,L56189,L,297.3,307.9,1579,34.4,193,0,No Failure
9011,L56190,L,297.2,307.9,1441,40,195,0,No Failure
9012,M23871,M,297.2,307.9,1530,35.9,197,0,No Failure
9013,L56192,L,297.2,308,1705,26,200,0,No Failure
9014,H38427,H,297.2,308,1435,43,202,0,No Failure
9015,M23874,M,297.2,308.1,1340,61.3,207,1,Overstrain Failure
9016,L56195,L,297.2,308.1,1431,49.7,210,1,No Failure
9017,L56196,L,297.3,308.2,1396,52.7,212,1,Overstrain Failure
9018,M23877,M,297.3,308.1,1369,52,214,0,No Failure
9019,L56198,L,297.3,308.1,1615,35.4,217,1,Tool Wear Failure
9020,L56199,L,297.2,308.1,1662,31.3,0,0,No Failure
9021,L56200,L,297.3,308.2,1553,33.5,2,0,No Failure
9022,M23881,M,297.4,308.2,1536,34.6,4,0,No Failure
9023,L56202,L,297.4,308.3,1548,46.6,7,0,No Failure
9024,L56203,L,297.4,308.3,1706,30.9,9,0,No Failure
9025,L56204,L,297.4,308.3,1366,45.5,11,0,No Failure
9026,L56205,L,297.5,308.4,1440,35.9,13,0,No Failure
9027,M23886,M,297.5,308.4,1685,28.1,15,0,No Failure
9028,M23887,M,297.4,308.3,1444,44,18,0,No Failure
9029,L56208,L,297.4,308.3,1395,48.7,21,0,No Failure
9030,L56209,L,297.4,308.3,1483,38.8,23,0,No Failure
9031,M23890,M,297.5,308.4,1403,44.3,25,0,No Failure
9032,H38445,H,297.5,308.4,1793,23.9,28,0,No Failure
9033,L56212,L,297.4,308.3,1723,28.8,33,0,No Failure
9034,L56213,L,297.4,308.2,1386,41,35,0,No Failure
9035,H38448,H,297.4,308.2,1585,46.2,37,0,No Failure
9036,M23895,M,297.3,308.1,1731,27.7,42,0,No Failure
9037,L56216,L,297.3,308.3,1519,37.7,45,0,No Failure
9038,L56217,L,297.3,308.2,1896,24.4,47,0,No Failure
9039,L56218,L,297.3,308.3,2358,14.9,49,0,No Failure
9040,M23899,M,297.3,308.3,1341,51.9,51,0,No Failure
9041,L56220,L,297.3,308.3,1550,37,54,0,No Failure
9042,L56221,L,297.3,308.3,1309,61.5,56,0,No Failure
9043,M23902,M,297.3,308.4,1599,32.9,58,0,No Failure
9044,L56223,L,297.4,308.4,1343,40,61,0,No Failure
9045,L56224,L,297.4,308.4,1378,39.9,63,0,No Failure
9046,L56225,L,297.4,308.4,1603,34.6,65,0,No Failure
9047,L56226,L,297.4,308.4,1664,28.1,67,0,No Failure
9048,L56227,L,297.3,308.4,1488,37.4,69,0,No Failure
9049,M23908,M,297.3,308.4,1370,50.5,71,0,No Failure
9050,L56229,L,297.3,308.5,1545,34.3,74,0,No Failure
9051,M23910,M,297.4,308.5,1566,31.4,76,0,No Failure
9052,L56231,L,297.4,308.6,1820,24.6,79,0,No Failure
9053,M23912,M,297.4,308.6,1901,22.1,81,0,No Failure
9054,M23913,M,297.4,308.5,1638,32.2,84,0,No Failure
9055,M23914,M,297.3,308.4,1521,38.2,87,0,No Failure
9056,H38469,H,297.3,308.4,1864,23.1,90,0,No Failure
9057,L56236,L,297.3,308.3,1430,41.9,95,0,No Failure
9058,M23917,M,297.3,308.4,1686,34.5,97,0,No Failure
9059,M23918,M,297.2,308.3,1326,57.2,100,0,No Failure
9060,L56239,L,297.2,308.3,1805,25.6,103,0,No Failure
9061,H38474,H,297.2,308.3,1453,45.8,105,0,No Failure
9062,M23921,M,297.2,308.4,1863,26,110,0,No Failure
9063,L56242,L,297.2,308.3,1576,35.3,113,0,No Failure
9064,L56243,L,297.2,308.3,1419,39.7,115,0,No Failure
9065,L56244,L,297.2,308.4,1833,25.2,117,0,No Failure
9066,H38479,H,297.2,308.4,2182,17.3,119,0,No Failure
9067,L56246,L,297.2,308.3,1656,30.3,124,0,No Failure
9068,L56247,L,297.1,308.2,1351,56.6,126,0,No Failure
9069,H38482,H,297.1,308.2,1790,30.3,128,0,No Failure
9070,M23929,M,297.2,308.2,1678,28.1,133,0,No Failure
9071,L56250,L,297.1,308.2,1427,45.2,136,0,No Failure
9072,L56251,L,297,308.1,1429,54,138,0,No Failure
9073,H38486,H,297.2,308.1,1770,27.2,140,0,No Failure
9074,L56253,L,297.2,308.1,1689,31.2,145,0,No Failure
9075,M23934,M,297.2,308.1,1554,41.3,147,0,No Failure
9076,L56255,L,297.3,308.1,1506,36,150,0,No Failure
9077,L56256,L,297.2,308.1,1474,44.3,152,0,No Failure
9078,L56257,L,297.3,308.1,1762,26.1,154,0,No Failure
9079,L56258,L,297.3,308.1,1566,35.7,156,0,No Failure
9080,H38493,H,297.3,308.1,1554,42.4,158,0,No Failure
9081,L56260,L,297.2,308,1869,25.4,163,0,No Failure
9082,L56261,L,297.3,308,1527,35.1,165,0,No Failure
9083,L56262,L,297.2,307.9,1309,49.6,167,0,No Failure
9084,M23943,M,297.2,307.9,1541,35.7,169,0,No Failure
9085,L56264,L,297.2,307.9,1326,75.4,172,1,Power Failure
9086,H38499,H,297.1,307.9,1365,54,174,0,No Failure
9087,L56266,L,297.1,307.8,1428,43.7,179,0,No Failure
9088,L56267,L,297.1,307.8,1681,27.6,181,0,No Failure
9089,M23948,M,297.1,307.9,1662,26.9,183,0,No Failure
9090,L56269,L,297.2,307.9,1989,20.3,186,0,No Failure
9091,M23950,M,297.2,307.9,1747,29,188,0,No Failure
9092,M23951,M,297.2,308,1765,31.1,191,0,No Failure
9093,L56272,L,297.3,308.1,1568,34.4,194,0,No Failure
9094,M23953,M,297.3,308.1,1709,30.6,196,0,No Failure
9095,M23954,M,297.3,308.1,1370,58.8,199,0,No Failure
